#         time [microsec]           Re(ampl) [MHz]           Im(ampl) [MHz]
 -3.99800000000000022E+00 -1.72149251163996542E-01  0.00000000000000000E+00
 -3.99400000000000022E+00 -1.74033092594621824E-01  0.00000000000000000E+00
 -3.99000000000000021E+00 -1.75913101302415498E-01  0.00000000000000000E+00
 -3.98600000000000021E+00 -1.77788930074180812E-01  0.00000000000000000E+00
 -3.98200000000000021E+00 -1.79660227970199815E-01  0.00000000000000000E+00
 -3.97800000000000020E+00 -1.81526640332871109E-01  0.00000000000000000E+00
 -3.97400000000000020E+00 -1.83387808796051571E-01  0.00000000000000000E+00
 -3.97000000000000020E+00 -1.85243371295102044E-01  0.00000000000000000E+00
 -3.96600000000000019E+00 -1.87092962077649166E-01  0.00000000000000000E+00
 -3.96200000000000019E+00 -1.88936211715069552E-01  0.00000000000000000E+00
 -3.95800000000000018E+00 -1.90772747114701907E-01  0.00000000000000000E+00
 -3.95400000000000018E+00 -1.92602191532798006E-01  0.00000000000000000E+00
 -3.95000000000000018E+00 -1.94424164588214154E-01  0.00000000000000000E+00
 -3.94600000000000017E+00 -1.96238282276857939E-01  0.00000000000000000E+00
 -3.94200000000000017E+00 -1.98044156986888376E-01  0.00000000000000000E+00
 -3.93800000000000017E+00 -1.99841397514687047E-01  0.00000000000000000E+00
 -3.93400000000000016E+00 -2.01629609081596828E-01  0.00000000000000000E+00
 -3.93000000000000016E+00 -2.03408393351442701E-01  0.00000000000000000E+00
 -3.92600000000000016E+00 -2.05177348448840502E-01  0.00000000000000000E+00
 -3.92200000000000015E+00 -2.06936068978296139E-01  0.00000000000000000E+00
 -3.91800000000000015E+00 -2.08684146044109620E-01  0.00000000000000000E+00
 -3.91400000000000015E+00 -2.10421167271082871E-01  0.00000000000000000E+00
 -3.91000000000000014E+00 -2.12146716826046244E-01  0.00000000000000000E+00
 -3.90600000000000014E+00 -2.13860375440203809E-01  0.00000000000000000E+00
 -3.90200000000000014E+00 -2.15561720432307174E-01  0.00000000000000000E+00
 -3.89800000000000013E+00 -2.17250325732667698E-01  0.00000000000000000E+00
 -3.89400000000000013E+00 -2.18925761908005889E-01  0.00000000000000000E+00
 -3.89000000000000012E+00 -2.20587596187154455E-01  0.00000000000000000E+00
 -3.88600000000000012E+00 -2.22235392487612093E-01  0.00000000000000000E+00
 -3.88200000000000012E+00 -2.23868711442963803E-01  0.00000000000000000E+00
 -3.87800000000000011E+00 -2.25487110431165261E-01  0.00000000000000000E+00
 -3.87400000000000011E+00 -2.27090143603706274E-01  0.00000000000000000E+00
 -3.87000000000000011E+00 -2.28677361915652910E-01  0.00000000000000000E+00
 -3.86600000000000010E+00 -2.30248313156577872E-01  0.00000000000000000E+00
 -3.86200000000000010E+00 -2.31802541982386839E-01  0.00000000000000000E+00
 -3.85800000000000010E+00 -2.33339589948042436E-01  0.00000000000000000E+00
 -3.85400000000000009E+00 -2.34858995541197685E-01  0.00000000000000000E+00
 -3.85000000000000009E+00 -2.36360294216739292E-01  0.00000000000000000E+00
 -3.84600000000000009E+00 -2.37843018432252806E-01  0.00000000000000000E+00
 -3.84200000000000008E+00 -2.39306697684409098E-01  0.00000000000000000E+00
 -3.83800000000000008E+00 -2.40750858546284974E-01  0.00000000000000000E+00
 -3.83400000000000007E+00 -2.42175024705618053E-01  0.00000000000000000E+00
 -3.83000000000000007E+00 -2.43578717004003992E-01  0.00000000000000000E+00
 -3.82600000000000007E+00 -2.44961453477043817E-01  0.00000000000000000E+00
 -3.82200000000000006E+00 -2.46322749395441826E-01  0.00000000000000000E+00
 -3.81800000000000006E+00 -2.47662117307065638E-01  0.00000000000000000E+00
 -3.81400000000000006E+00 -2.48979067079968058E-01  0.00000000000000000E+00
 -3.81000000000000005E+00 -2.50273105946381969E-01  0.00000000000000000E+00
 -3.80600000000000005E+00 -2.51543738547687523E-01  0.00000000000000000E+00
 -3.80200000000000005E+00 -2.52790466980361228E-01  0.00000000000000000E+00
 -3.79800000000000004E+00 -2.54012790842911729E-01  0.00000000000000000E+00
 -3.79400000000000004E+00 -2.55210207283803225E-01  0.00000000000000000E+00
 -3.79000000000000004E+00 -2.56382211050377617E-01  0.00000000000000000E+00
 -3.78600000000000003E+00 -2.57528294538774349E-01  0.00000000000000000E+00
 -3.78200000000000003E+00 -2.58647947844857951E-01  0.00000000000000000E+00
 -3.77800000000000002E+00 -2.59740658816151326E-01  0.00000000000000000E+00
 -3.77400000000000002E+00 -2.60805913104788623E-01  0.00000000000000000E+00
 -3.77000000000000002E+00 -2.61843194221481890E-01  0.00000000000000000E+00
 -3.76600000000000001E+00 -2.62851983590512761E-01  0.00000000000000000E+00
 -3.76200000000000001E+00 -2.63831760605752197E-01  0.00000000000000000E+00
 -3.75800000000000001E+00 -2.64782002687708962E-01  0.00000000000000000E+00
 -3.75400000000000045E+00 -2.65702185341616548E-01  0.00000000000000000E+00
 -3.75000000000000000E+00 -2.66591782216555828E-01  0.00000000000000000E+00
 -3.74600000000000044E+00 -2.67450265165623091E-01  0.00000000000000000E+00
 -3.74199999999999999E+00 -2.68277104307143910E-01  0.00000000000000000E+00
 -3.73800000000000043E+00 -2.69071768086936058E-01  0.00000000000000000E+00
 -3.73399999999999999E+00 -2.69833723341627474E-01  0.00000000000000000E+00
 -3.73000000000000043E+00 -2.70562435363029041E-01  0.00000000000000000E+00
 -3.72599999999999998E+00 -2.71257367963570251E-01  0.00000000000000000E+00
 -3.72200000000000042E+00 -2.71917983542792341E-01  0.00000000000000000E+00
